ds,yhat,yhat_lower,yhat_upper
2012-01-11,47660.89935215187,32083.336092478843,61686.21660524669
2012-01-12,56456.64261340181,41348.69053836596,72770.19642473428
2012-01-13,46278.18744477335,30685.193350132653,61814.23371957762
2012-01-14,60331.02458596458,46273.80861703931,75441.38657083188
2012-01-15,35515.56908077796,20987.970215186393,50465.87381314282
2012-01-16,47852.722770646775,32820.2335697177,63149.194649452045
2012-01-17,52628.390693131645,37525.69862620635,67970.36409436929
2012-01-18,48493.605928498946,33103.85796544035,63179.88846534606
2012-01-19,57289.3491897192,43117.74693555161,72383.51189667342
2012-01-20,47110.89402107919,32201.5935754656,62038.82248034208
2012-01-21,61163.731162271586,45575.07209730133,76008.70177462578
2012-01-22,36348.275657139886,21512.57429258858,51793.50685152083
2012-01-23,48685.42934700286,33666.11011665489,64306.536642795734
2012-01-24,53461.097269455975,38440.11497472877,69041.68460196331
2012-01-25,49326.31250484603,34219.41041881675,65038.37868191668
2012-01-26,58122.05576599726,44014.74372288257,72442.08146778167
2012-01-27,47943.60059737784,33887.494676340866,62876.98130455683
2012-01-28,61996.43773858172,47029.26968287844,77337.05021151341
2012-01-29,37180.98223341198,21184.077329829182,52371.435266393
2012-01-30,49518.13592330284,34683.31093408129,64095.75159253782
2012-01-31,54293.803845780305,39482.82887758623,69311.85505312619
2012-02-01,50159.019081088525,34655.5762489309,65058.188016089756
2012-02-02,58954.76234234863,43602.01286262738,74135.41508991175
